id,alt_type,attack,card_bonus,number,command,cost,errata_text,faction,hit_points,keywords,loyalty,name,resource_bonus,shields,text,traits,type,unique,copies,cycle,designer,octgn_id,set,signature_id,starting_cards,starting_resources,planet_material,planet_stronghold,planet_tech,sector,tts_card_key,tts_sheet_id,tts_sheet_position,flavour_text
182,,,,120,,2,,Ork,,,Loyal,Fungal Turf,,,Headquarters Action: Sacrifice this support to put X Snotling tokens into play divided among any number of planets. X is the highest printed cost among units you control.,Location.,Support,,,Deathworld Cycle,FFG,27a1c841-b72d-4cab-a81d-3664c6e763c2,The Warp Unleashed,,,,,,,,,,,
183,,2,,121,2,5,,Dark Eldar,5,Deep Strike (4).,,Beastmaster Harvester,,,"Reaction: After you Deep Strike this unit, put 2 Khymera tokens into play at this planet.",Warrior. Beastmaster. ELite.,Army,,,Deathworld Cycle,FFG,72d4c2f3-dedb-4d89-89c0-fae9ace8caa0,The Warp Unleashed,,,,,,,,,,,
184,,2,,122,,3,,Dark Eldar,3,,,Hydrae Stalker,,,"Reaction: After you deploy this unit, deal 2 damage to a target unit with printed cost 2 or lower.",Warrior. Wych. Raider.,Army,,,Deathworld Cycle,FFG,83e14558-eb67-411d-89a2-a41e20c39072,The Warp Unleashed,,,,,,,,,,,
185,,3,,123,1,4,,Eldar,3,Deep Strike (2).,,Scorpion Striker,,,"Reaction: After you Deep Strike this unit, exhaust a target non-Elite army unit at this planet.",Warrior.,Army,,,Deathworld Cycle,FFG,6dd8fa98-97b4-4953-9717-e4cabe1be648,The Warp Unleashed,,,,,,,,,,,
186,,,,124,,4,,Eldar,,,,Piercing Wail,,1,Deploy Action: Exhaust up to 2 units each with printed cost X or lower. X is equal to the highest printed cost among units you control.,Power.,Event,,,Deathworld Cycle,FFG,bc1a1964-eebd-4715-aec1-6ed7241364c3,The Warp Unleashed,,,,,,,,,,,
187,,2,,125,,5,,Tau,6,No Wargear attachments.,Loyal,Raging Krootox,,,Combat Action: This unit gets +X ATK until the end of the phase. X is the number of [Resource] in your resource pool. (Limit once per phase.),Creature. Kroot. Elite.,Army,,,Deathworld Cycle,FFG,8a7899b6-52bb-4bdb-a99d-94528bced76f,The Warp Unleashed,,,,,,,,,,,
188,,,,126,,0,,Tau,,,,Hunter's Ploy,,1,Reaction: After the headquarters phase begins each player gains [Resource] equal to the highest printed cost among units he control.,Tactic.,Event,,,Deathworld Cycle,FFG,989cb25e-eff8-497e-88dd-0ca538dbd364,The Warp Unleashed,,,,,,,,,,,
189,,3,,127,,6,,Tyranid,6,Deep Strike (3).,,Slavering Mawloc,,,Reaction: After you Deep Strike this unit. it gains Armorbane until the end of the phase.,Creature. Leviathan. Elite.,Army,,,Deathworld Cycle,FFG,aa6de822-368f-4714-b63e-b729674af79f,The Warp Unleashed,,,,,,,,,,,
190,,,,128,,2,,Tyranid,,,,Armored Shell,,1,"Attach to an army unit you control. Reaction: After attached unit is assigned damage by an attack, prevent all but 2 of that damage.",Wargear. Biomorph.,Attachment,,,Deathworld Cycle,FFG,87a18a28-d523-43b0-a5fd-5bae8b1967dc,The Warp Unleashed,,,,,,,,,,,
191,,3,,129,3,4,,Necron,3,No Wargear attachments.,,Dread Command Barge,,,Deploy Action: Discard a non-H card from your hand to move this unit to an adjacent planet.,Vehicle.,Army,,,Deathworld Cycle,FFG,47d0e6b1-d361-4080-b525-86873674bed1,The Warp Unleashed,,,,,,,,,,,
192,,X,,130,2,7,,Necron,X,,,Shard of the Deceiver,,,"X is equal to the number of cards in your discard pile. Forced Reaction: After a phase or combat round at this planet begins, discard a card. If you have no cards in your hand discard this unit.",C'tan. Elite.,Army,,,Deathworld Cycle,FFG,f0bc812b-25c4-464b-be41-af14f2136982,The Warp Unleashed,,,,,,,,,,,
193,,3,,1,,2,,Space Marine,3,Ambush.,,Veteran Crusader,,,"Forced Reaction: After this unit enters play, each player chooses a planet on his command dial, then simultaneously reveals it. Each player sacrifices an army unit at each planet, if able. If both players choose the same planet, cancel this effect.",Scout. Soldier. Black Templars.,Army,,,Champions,FFG,d199fe8e-5807-414d-9516-a78c851f1b03,Champions,,,,,,,,,,,
194,,3,,2,2,5,,Space Marine,6,Ranged.,,War Father Nathaniel,,,Your opponent takes 1 fewer [Resource] when collecting resources during the headquarters phase.,Soldier. Raven Guard. Elite.,Army,yes,,Champions,FFG,ad70ec90-ebf6-41e3-ae71-42b6c2d15b7d,Champions,,,,,,,,,,,
195,,4,,3,1,3,,Space Marine,2,Ambush.,,War Father's Shadows,,,"Reaction: After this unit is deployed, your opponent loses 1[Resource]",Soldier. Raven Guard.,Army,,,Champions,FFG,99e995f4-abdc-46e8-9f29-a8688914aaee,Champions,,,,,,,,,,,
196,,2,,4,1,4,,Ork,3,,,Herald of the WAAAGH!,,,"Reaction: After this unit enters play, resolve a battle at this planet. (This battle cannot cause a player to claim a planet.)",Warrior. Nob.,Army,,,Champions,FFG,379abf12-4041-4c35-a068-89c8495e4550,Champions,,,,,,,,,,,
197,bloodied,2,,1,,,,Dark Eldar,5,Bloodied.,Signature,Yvraine,,,,Herald of Ynnead.,Warlord,yes,,Confrontation,APK,,The Laughing God,,,,,,,,,,,
198,,2,,27,,,,Dark Eldar,7,,Signature,Yvraine,,,"You cannot include [Chaos] Elite units. Reaction: After this unit commits to a planet, a non-Elite army unit you control at an adjacent planet is considered to be a warlord while checking for a battle at that planet this round.",Herald of Ynnead.,Warlord,yes,,Confrontation,APK,1ff6ff09-47f5-49fd-a8d4-87a02f0ff3c1,The Laughing God,41,7,7,,,,,,,,
199,,2,,28,1,2,,Dark Eldar,2,,Signature,Yvraine's Entourage,,,"Reaction: After a battle begins at this planet, switch the printed ATK values of two army units at this planet until the end of a combat round.",Psyker. Warrior.,Army,,4,Confrontation,APK,32ccd8ea-e694-4e5f-ba46-ee09476c5753,The Laughing God,41,,,,,,,,,,
200,,,,29,,0,,Dark Eldar,,,Signature,Triumvirate of Ynnead,,1,This event cannot be cancelled. Action: Deploy 2 non-Elite units with a different name from your discard pile at 2 different planets. Reduce their cost by 1.,Prophecy.,Event,,2,Confrontation,APK,1389801d-c6d7-48b1-a518-9bd5f5fdec96,The Laughing God,41,,,,,,,,,,
201,,,,30,,0,,Dark Eldar,,,Signature,Attuned Gyrinx,,3,Attach to your warlord. Attached unit gets +1 HP. Combat Action: Exhaust this attachment to give a non-Elite army unit you control at each adjacent planet +1 ATK and +1 HP until the end of the phase.,Familiar.,Attachment,yes,1,Confrontation,APK,21c9f24e-7ba1-4fae-b30f-93564fe8759a,The Laughing God,41,,,,,,,,,,
202,,,,31,,3,,Dark Eldar,,,Signature,Host of the Emissary,,,"Reaction: After your opponent wins a battle, exhaust this support to have your opponent sacrifice an army unit at that planet, if able.",Warhost.,Support,yes,1,Confrontation,APK,e2d1ef55-498e-4d48-a153-28944e952ff5,The Laughing God,41,,,,,,,,,,
203,bloodied,2,,32,,,,Chaos,6,Bloodied.,Signature,Vael the Gifted,,,You may play Ritual events you removed from the game as if they were in your hand. (Limit once per game.),Ritualist. Chaos Undivided.,Warlord,yes,,Confrontation,APK,,The Laughing God,,,,,,,,,,,
204,,2,,32,,,,Chaos,6,,Signature,Vael the Gifted,,,"The effects of Ritual events you play cannot be cancelled. When the first round starts, remove each Ritual card in your deck from the game. You may play Ritual events you removed from the game as if they were in your hand. (Limit once per round.)",Ritualist. Chaos Undivided.,Warlord,yes,,Confrontation,APK,f800c01b-129e-4b8c-9af3-9f0ffb0bfb2b,The Laughing God,42,7,7,,,,,,,,
205,,2,,33,2,3,,Chaos,4,,Signature,Drammask Nane,,,"Reaction: After you play a Ritual event, sacrifice a unit at this planet to have up to 4 units you control at this planet get +1 ATK until the end of the phase.",Sorcerer.,Army,,2,Confrontation,APK,0fa0c797-9a3b-4080-adfe-e2b1e8160004,The Laughing God,42,,,,,,,,,,
206,,,,34,,1,,Chaos,,,Signature,The Blood Pits,,1,"Reaction: After your warlord commits to a planet with an enemy warlord, choose up to 1 enemy unit at each planet without a Warlord. Deal 2 damage to each chosen unit.",Ritual. Khorne.,Event,yes,1,Confrontation,APK,ce5edeb9-1292-4670-8e91-621a94b2e94f,The Laughing God,42,,,,,,,,,,
207,,,,35,,4,,Chaos,,,Signature,The Orgiastic Feast,,1,"Command Action: Rally 12 up to two units with cost 4 or lower, put them into play at a target planet and shuffle your deck. If those units are still in play at the end of the round, return them to your hand.",Ritual. Slaanesh.,Event,yes,1,Confrontation,APK,c1b2f9b5-5c77-4f4c-9402-6fca4478e183,The Laughing God,42,,,,,,,,,,
208,,,,35,,1,,Chaos,,,Signature,The Grand Plan,,1,"Interrupt: When a player places a planet in their victory display, sacrifice an army unit at a planet with no enemy army unit to remove that planet from the game instead. At the end of the next round, place the planet in that player's victory display and draw 4 cards.",Ritual. Tzeentch.,Event,,1,Confrontation,APK,20c66e4e-856c-4e43-a037-238774ba1140,The Laughing God,42,,,,,,,,,,
209,,,,36,,1,,Chaos,,,Signature,The Inevitable Decay,,1,"Reaction: After an army unit enters play or moves to a planet with a unique unit you control, exhaust it and move up to 2 damage from units at the same planet to that unit.",Ritual. Nurgle.,Event,yes,1,Confrontation,APK,92a273b4-4032-47e0-bae5-4c635fa9640c,The Laughing God,42,,,,,,,,,,
210,,,,37,,0,,Chaos,,,Signature,Talisman of Denial,,3,Attach to your warlord. Attached unit gains 3 command icons. Combat Action: Sacrifice this attachment to switch the damage on your warlord with the damage on a hale warlord at this planet.,Wargear.,Attachment,yes,1,Confrontation,APK,8767a365-a0be-4197-861e-85aa749d80e7,The Laughing God,42,,,,,,,,,,
211,,,,38,,1,,Chaos,,,Signature,Sacrificial Altar,,,"Deploy Action: Exhaust this support and target a non first-planet to draw 1 card and gain 1 [R]. If your opponent wins a command struggle at the targeted planet this round, they draw 1 card and gain 1 [R].",Location.,Support,yes,1,Confrontation,APK,cf9ad004-5500-42f9-a9f2-944e8aad77fd,The Laughing God,42,,,,,,,,,,
212,,5,,39,2,6,,Astra Militarum,6,No Wargear attachments.,Loyal,Krieg Armoured Regiment,,,"Reaction: After this unit leaves play, place it at the bottom of your deck to Rally 6 a Tank, Vehicle or Krieg unit with a different name, put it into play at the same planet.",Vehicle. Tank. Elite.,Army,,,Confrontation,APK,39514d3c-ed85-42f1-97ed-98b79530dfc4,The Laughing God,,,,,,,,,,,
213,,,,40,,0,,Astra Militarum,,,Loyal,Departmento Munitorum Aid,,2,Attach to a Vehicle army unit. Attached unit gets +1 HP. Action: Exhaust this attachment and remove 1 damage from attached unit to retreat it.,Maintenance.,Attachment,,,Confrontation,APK,915805d5-e6e7-46bc-8e62-b755eb8cb272,The Laughing God,,,,,,,,,,,
214,,,,41,,1,,Eldar,,Deep Strike (0),,Close Quarters Doctrine,,1,"Attach to a planet. Limit 1 per planet. Each unit with a printed cost 3 or higher at this planet gets -1 ATK. Reaction: After a battle ends at this planet, draw a card.",Tactic.,Attachment,,,Confrontation,APK,80701e7e-0395-4d3b-ad6c-871ab9b17451,The Laughing God,,,,,,,,,,,
215,,,,42,,1,,Eldar,,,Loyal,The Dance Without End,,2,"Reaction: After a Harlequin unit enters your discard pile from a planet, return it to your hand to deploy a Harlequin unit with a different name at the same planet.",Power.,Event,,,Confrontation,APK,e3e85d3d-01c6-40eb-9e57-d2b23f082655,The Laughing God,,,,,,,,,,,
216,,,,43,,1,,Dark Eldar,,,Loyal,Willing Submission,,,"Forced Reaction: After the deploy phase begins, draw 1 card. Then your opponent may choose 2 units he controls (or his warlord if he controls no other unit) to draw 1 card. You may deal 1 damage to one of the chosen units.",Torture.,Support,yes,,Confrontation,APK,b2300bc5-760e-43f9-9991-0de2ab68ee3b,The Laughing God,,,,,,,,,,,
217,,2,,44,1,3,,Chaos,4,,Loyal,Galvax the Bloated,,,"This unit gets +1 ATK and +1 HP for each Cultist unit you control at this planet. Reaction: After a Cultist unit you control leaves play from this planet, deal 1 damage to a unit at this planet.",Touched. Nurgle.,Army,yes,,Confrontation,APK,4b5b478f-7010-4d49-b4b1-fb568b811039,The Laughing God,,,,,,,,,,,
218,,,,45,,1,,Chaos,,,Loyal,Tides of Chaos,,2,"Reaction: After your warlord commits to a planet, until the end of the phase, each army unit gains an amount of command icons equal to their ATK value.",Tactic.,Event,,,Confrontation,APK,a2a2a5f9-2146-47ba-8b5b-c3dc925d7d49,The Laughing God,,,,,,,,,,,
219,,2,,46,,0,,Chaos,1,,Loyal,Uncontrollable Rioters,,,Cost of units you deploy is increased by 1. This unit cannot change control more than once per round. Action: Give control of this unit to your opponent.,Cultist. Mob.,Army,,,Confrontation,APK,250c8166-20c3-4770-8ae4-a1e911209efb,The Laughing God,,,,,,,,,,,
220,,2,,47,1,2,,Ork,2,Deep Strike (0).,,Fairly Quipped Kommando,,,"This unit gets +1 HP per attachment on it. Interrupt: When an attachmement leaves play from this planet, return it to your hand instead.",Soldier.,Army,,,Confrontation,APK,b0bcdb70-c0d2-428e-88bb-be640c4a9678,The Laughing God,,,,,,,,,,,
221,,2,,48,1,2,,Ork,3,Deep Strike (1). No Wargear attachments.,,Slave-powered Wagons,,,Action: Destroy a target token unit at this planet or an adjacent planet. Then this unit gets +1 ATK and +1 HP until the end of the phase. (Limit once per round.),Vehicle.,Army,,,Confrontation,APK,17c8a084-c44f-4aba-be40-deccfc3d1be4,The Laughing God,,,,,,,,,,,
222,,2,,49,2,2,,Tau,1,,Loyal,Frontline Counsellor,,,"Interrupt: When a unit you control is routed or moves from a planet, move this unit to that planet. (Limit once per phase.) Forced Reaction: After this unit resolves its attack, move it to your HQ.",Soldier. Ethereal.,Army,Yes,,Confrontation,APK,00771f53-d4c2-4a89-b633-50987817f0cd,The Laughing God,,,,,,,,,,,
223,,3,,50,,2,,Tau,3,,,Scavenging Kroot Rider,,,"Reaction: After this unit enters play, attach an eligible attachment from your discard pile to this unit and exhaust a target enemy limited support card.",Kroot.,Army,,,Confrontation,APK,c7a2fe38-5418-45c2-b4e3-224e0ec1f3bd,The Laughing God,,,,,,,,,,,
224,,0,,51,1,1,,Tyranid,2,,,Drifting Spore Mines,,,"Forced Reaction: After the combat phase begins, your opponent moves this unit to an adjacent planet. Then you may deal 1 damage to this unit to deal 1 damage to a non-unique unit at that planet.",Creature.,Army,,,Confrontation,APK,bfa20fd9-d609-4286-82e8-30a778d4e920,The Laughing God,,,,,,,,,,,
225,,2,,52,1,2,,Tyranid,3,,,Vale Tenndrac,,,"Reaction: After this unit enters play, put 1 Termagant token into play at this planet and each adjacent infested planet. Interrupt: When your opponent triggers an ability that discards a card from your hand, put this unit into play at a planet to draw two cards.",Hybrid. Genestealer.,Army,Yes,,Confrontation,APK,b83e470b-ade3-43b9-a0c5-6cc7c7103fee,The Laughing God,,,,,,,,,,,
226,,1,,53,1,1,,Tyranid,1,,,Growing Genestealer Brood,,,"Reaction: After this unit enters play, put a Brood unit into play from your discard pile at this planet.",Creature. Genestealer. Brood.,Army,,,Confrontation,APK,1a731ec4-6251-4ab8-93a5-fd5e848586a2,The Laughing God,,,,,,,,,,,
227,,1,,54,1,2,,Tyranid,1,No attachments.,,Growing Tide,,,"Cannot retreat. Interrupt: When this unit leaves the first planet, move it to an adjacent planet to remove all damage from it and give it +1 ATK and +1 HP until the end of the game instead.",Swarm.,Army,,,Confrontation,APK,9a88cec4-f842-4d17-94b8-52288fc64474,The Laughing God,,,,,,,,,,,
228,,,,55,,1,,Necron,,,,Endless Legions,,,"Reaction: After a N unit enters your discard pile from play, exhaust this support and place 2 units from your discard pile at the bottom of your deck to Rally 6 a N unit with a printed cost of 3 or lower, put it into play at a target planet.",Location.,Support,,,Confrontation,APK,92111b6d-d83f-4691-9294-db8db79a0526,The Laughing God,,,,,,,,,,,
229,,3,,56,1,3,,Necron,3,,,Raving Cryptek,,,"To deploy a unit at this planet, your opponent must reveal two units he can deploy from his hand. Choose one, its cost is increased by 2. Then your opponent decides which of those units to deploy.",Scholar. Soldier.,Army,,,Confrontation,APK,a44566bb-5e1f-4dff-8c01-87c3d4609282,The Laughing God,,,,,,,,,,,
230,bloodied,2,,57,,,,Necron,7,Bloodied.,Signature,Trazyn the Infinite,,,,Overlord.,Warlord,yes,,Confrontation,APK,,A Mask Falls Off,,,,,,,,,,,
231,,2,,57,,,,Necron,2,,Signature,Trazyn the Infinite,,,"Interrupt: When your Warlord would be defeated, move it to a target planet to remove all the damage from it instead.",Substitute.,Warlord,yes,,Confrontation,APK,fd402a84-8b89-11e8-9eb6-529269fb1459,A Mask Falls Off,43,7,7,,,,,,,,
232,,2,,58,1,2,,Necron,3,,Signature,Acquisition Phalanx,,,"Reaction: After a unit you control moves to this planet, this unit gets +1 ATK and +1 HP until the end of the phase.",Soldier.,Army,,4,Confrontation,APK,fd403286-8b89-11e8-9eb6-529269fb1459,A Mask Falls Off,43,,,,,,,,,,
233,,,,58,,0,,Necron,,,Signature,Surrogate Host,,1,"Interrupt: When a unit you control is destroyed, move your Warlord to the same planet.",Tactic.,Event,,2,Confrontation,APK,fd4034fc-8b89-11e8-9eb6-529269fb1459,A Mask Falls Off,43,,,,,,,,,,
234,,,,59,,1,,Necron,,Wargear,Signature,Third Eye of Trazyn,,3,"Attach to your warlord. Attached unit gets +1 HP. Combat Reaction: After your Warlord moves to a planet, exhaust this attachment to move an army unit you control at that planet to an adjacent planet.",Weapon.,Attachment,yes,1,Confrontation,APK,fd403876-8b89-11e8-9eb6-529269fb1459,A Mask Falls Off,43,,,,,,,,,,
235,,,,59,,1,,Necron,,,Signature,Reign of Solmenance,,,Each army unit you control at a planet with your Warlord gets +1 HP.,Tomb World.,Support,yes,1,Confrontation,APK,fd403c54-8b89-11e8-9eb6-529269fb1459,A Mask Falls Off,43,,,,,,,,,,
236,bloodied,2,,60,,,,Tyranid,4,Bloodied.,Signature,Magus Harid,,,"Bloodied. Interrupt: When this unit is defeated, discard it and put a Termagant token into play at a target planet, this token is considered a warlord. If it is defeated you lose the game.",Psyker. Hybrid.,Warlord,yes,,Confrontation,APK,,A Mask Falls Off,,,,,,,,,,,
237,,2,,60,,,,Tyranid,7,,Signature,Magus Harid,,,"Reaction: After an enemy unit enters play, put a card from your hand attached facedown to that unit. Then draw a card. (Limit once per round.) As an interrupt when the attached unit leaves play, you may deploy the facedown card at the same planet.",Psyker. Hybrid.,Warlord,yes,,Confrontation,APK,1ebbe88e-2aa4-11e8-b467-0ed5f89f718b,A Mask Falls Off,44,6,6,,,,,,,,
238,,2,,61,1,2,,Tyranid,4,,Signature,Genestealer Hybrids,,,"Cannot be deployed from your hand. Each other unit you control at this planet cannot be damaged by Area Effect. This unit must be declared as a defender, if able.",Hybrid. Genestealer.,Army,,4,Confrontation,APK,1ebbe9c4-2aa4-11e8-b467-0ed5f89f718b,A Mask Falls Off,44,,,,,,,,,,
239,,,,62,,0,,Tyranid,,,Signature,Accelerated Gestation,,1,"Action: Reveal a facedown card you control attached to a unit. If it's a unit, deploy it at this planet and deal 1 unpreventable damage to attached unit (Max 1 per round).",Tactic. Genestealer.,Event,,2,Confrontation,APK,1ebbeb68-2aa4-11e8-b467-0ed5f89f718b,A Mask Falls Off,44,,,,,,,,,,
240,,,,63,,0,,Tyranid,,,Signature,Banner of the Cult,,3,"Attach to an army unit you control. Interrupt: When attached unit leaves play, exhaust a target enemy army unit at this planet and return this card to your hand.",Standard. Genestealer.,Attachment,,1,Confrontation,APK,1ebbedac-2aa4-11e8-b467-0ed5f89f718b,A Mask Falls Off,44,,,,,,,,,,
241,,,,64,,1,,Tyranid,,,Signature,Imperial Bastion,,,Your warlord's ability can trigger twice per round instead of once. Combat Action: Exhaust this support to deal 1 damage to a unit with a facedown attached card.,Location. Genestealer.,Support,,1,Confrontation,APK,1ebbef96-2aa4-11e8-b467-0ed5f89f718b,A Mask Falls Off,44,,,,,,,,,,
242,,2,,65,1,2,,Astra Militarum,2,No Wargear attachments.,Loyal,Holy Battery,,,"While at a planet with a unit with faith you control, this unit gets +1 ATK. Reaction: After you play a shield on this unit, place 1 faith on it.",Tank. Vostroya. Vehicle.,Army,,,Confrontation,APK,224feaf2-9126-11e8-9eb6-529269fb1459,A Mask Falls Off,,,,,,,,,,,
243,,1,,66,1,1,,Ork,3,Deep Strike (1).,,Impulsive Loota,,,"Reaction: After an attachment card is discarded, Deep Strike this unit to deploy that attachment from your discard pile attached to this unit.",Soldier.,Army,,,Confrontation,APK,224ff100-9126-11e8-9eb6-529269fb1459,A Mask Falls Off,,,,,,,,,,,
244,,,,67,,0,,Eldar,,,Loyal,Warhost Helmet,,2,"Attach to a Saim-Hann unit. Limit 1 per unit. Attached unit gets +2 HP. Reaction: After attached unit is assigned damage, exhaust it and this attachment to prevent all of that damage. Then attached unit gets +1 ATK for its next attack this phase.",Wargear.,Attachment,,,Confrontation,APK,224ff380-9126-11e8-9eb6-529269fb1459,A Mask Falls Off,,,,,,,,,,,
245,,6,,69,1,7,,Tyranid,7,Flying,,Shedding Hive Crone,,,"Reaction: After an attack resolved by this unit against an army unit doesn't destroy it, put 3 Termagant tokens into play at this planet. If the planet is infested, put 4 tokens instead.",Creature. Kraken. Elite.,Army,,,Confrontation,APK,224ff5b0-9126-11e8-9eb6-529269fb1459,A Mask Falls Off,,,,,,,,,,,
246,,3,,70,2,5,,Tyranid,5,,,Goliath Rockgrinder,,,"While at an infested planet this unit gets +2 HP. Reaction: After this unit destroys an enemy unit, put X Termagant tokens into play at this planet. X is printed HP value of that enemy unit. (Limit once per phase.)",Genestealer. Vehicle. Elite.,Army,,,Confrontation,APK,224ff7ea-9126-11e8-9eb6-529269fb1459,A Mask Falls Off,,,,,,,,,,,
247,,,,71,,2,,Tyranid,,,,Overrun,,1,"If all effects of this event are cancelled, draw 2 cards. Action: Exhaust a target army unit. Then, you may sacrifice a unit to rout it.",Tactic.,Event,,,Confrontation,APK,224ffd4e-9126-11e8-9eb6-529269fb1459,A Mask Falls Off,,,,,,,,,,,
248,,,,72,,2,,Tau,,,Loyal,Data Analyzer,,2,"Attach to an army unit. Attached unit gets +1 HP. Interrupt: When a unit is assigned damage by an attack at this planet, reassign 1 of that damage to another unit controlled by the same player at this planet.",Wargear. Experimental.,Attachment,Yes,,Confrontation,APK,224fffce-9126-11e8-9eb6-529269fb1459,A Mask Falls Off,,,,,,,,,,,
249,,,,73,,1,,Tau,,,Loyal,Fusion Cascade Defiance,,2,"Attach to an army unit. Attached unit gets +1 ATK and +1 HP. Reaction: After this unit enters or leaves play, deal 1 damage to a target unit at this planet.",Wargear.,Attachment,,,Confrontation,APK,2250021c-9126-11e8-9eb6-529269fb1459,A Mask Falls Off,,,,,,,,,,,
250,,2,,74,1,1,,Tau,1,,Loyal,Escort Drone,,,"You may deploy this card as Wargear attachment with the text: Attach to an army unit. Attached unit gets +2 ATK and +1 HP. Interrupt: When attached unit leaves play, detach this card to have it become an army unit.",Drone.,Army,,,Confrontation,APK,2250047e-9126-11e8-9eb6-529269fb1459,A Mask Falls Off,,,,,,,,,,,
251,,,,75,,2,,Tau,,,Loyal,Breach and Clear,,2,"If all effects of the event are cancelled, gain 2 resources. Exhaust an army unit. Then you may sacrifice an attachment to exhaust another target army unit at the same planet.",Tactic.,Event,,,Confrontation,APK,225006d6-9126-11e8-9eb6-529269fb1459,A Mask Falls Off,,,,,,,,,,,
252,,,,76,,2,,Tau,,,Loyal,Positional Relay,,2,"Attach to an army unit. Attached unit gets +1 ATK and +1 HP. Action: Exhaust this attachment to rally X an attachment, add it to your hand. X equals the number of attachments you control.",Wargear. Experimental.,Attachment,Yes,,Confrontation,APK,22500c62-9126-11e8-9eb6-529269fb1459,A Mask Falls Off,,,,,,,,,,,
253,,,,77,,0,,Neutral,,,,First Dawn,,,"You may play this card from your card collection as if it were in your hand (Max 1 per trigger). Reaction: After another player plays a card named Bonesinger Choir, Squiggoth Brute, Corrupted Teleportarium, Gun Drones, Archon's Palace, or Land Speeder Vengeance, gain 2 resources and draw 2 cards.",Cycle.,Event,,,Confrontation,APK,22500ed8-9126-11e8-9eb6-529269fb1459,A Mask Falls Off,,,,,,,,,,,
254,bloodied,2,,1,,,,Astra Militarum,5,Bloodied.,Signature,Saint Celestine,,,"Interrupt: When your warlord would be defeated by taking damage, remove all damage from it instead. Then deal it 5 damage. (Limit once per game.)",Saint. Ecclesiarchy.,Warlord,yes,,Defenders of the Faith,APK,,Defenders of the Faith,,,,,,,,,,,
255,,2,,1,,,,Astra Militarum,7,,Signature,Saint Celestine,,,"Combat Action: Pay [F] equal to the printed cost of a non-Elite unit in your hand to put it into play at this planet. If that unit is still in play at the end of the phase, discard it and draw a card. (Limit once per phase.)",Saint. Ecclesiarchy.,Warlord,yes,,Defenders of the Faith,APK,710816ab-91dd-4ccf-a656-930ded56c5af,Defenders of the Faith,37,7,7,,,,,,,,
256,,2,,2,1,2,,Astra Militarum,2,,Signature,Heralding Cherubim,,,"Reaction: After your warlord commits to a planet, place 1 [F] on this unit. Then you may move this unit to a planet adjacent to your warlord.",Herald. Ecclesiarchy.,Army,,4,Defenders of the Faith,APK,ea66abe7-e3f8-4c3c-ab59-d51a5a8a6425,Defenders of the Faith,37,,,,,,,,,,
257,,,,3,,1,,Astra Militarum,,,Signature,Miraculous Intervention,,1,"Reaction: After your warlord commits to a planet, place 1 [F] on this unit. Then you may move this unit to a planet adjacent to your warlord.",Prayer. Ecclesiarchy.,Event,,2,Defenders of the Faith,APK,d91621df-bfd0-4c20-8255-c96ad43388a5,Defenders of the Faith,37,,,,,,,,,,
258,,,,4,,0,,Astra Militarum,,,Signature,Armour of Saint Katherine,,3,"Attach to an Ecclesiarchy unit. Reduce all damage dealt to attached unit to 3. Reaction: After attached unit is dealt damage, place 1 [F] on it.",Wargear. Armor.,Attachment,,1,Defenders of the Faith,APK,9230de8d-2513-49b6-9969-d4cc7001fea2,Defenders of the Faith,37,,,,,,,,,,
259,,,,5,,0,,Astra Militarum,,,Signature,Order of Our Martyred Lady,,,"While at the first planet, your warlord gets +2 HP. Reaction: After your opponent wins a battle, Rally 6 for a unit, add it to your hand. Then place 2 [F] among army units you control.",Location. Ecclesiarchy.,Support,,1,Defenders of the Faith,APK,1a58171c-1259-4289-8369-0bd2f9e5a3c9,Defenders of the Faith,37,,,,,,,,,,
260,bloodied,2,,6,,,,Astra Militarum,6,Bloodied.,Signature,Canoness Vardina,,,"Action: Place 2 [F] among army units you control. If your warlord is at a planet with an enemy warlord, place 3 instead. (Limit once per round)",Officer. Ecclesiarchy.,Warlord,yes,,Defenders of the Faith,APK,,Defenders of the Faith,,,,,,,,,,,
261,,2,,6,,,,Astra Militarum,6,,Signature,Canoness Vardina,,,"Action: Place 2 [F] among army units you control. If your warlord is at a planet with an enemy warlord, place 3 instead. (Limit once per round)",Officer. Ecclesiarchy.,Warlord,yes,,Defenders of the Faith,APK,cc2ec0ca-5bd6-4866-a1fa-b23d8ae60536,Defenders of the Faith,38,7,7,,,,,,,,
262,,3,,7,1,3,,Astra Militarum,3,,Signature,Sororitas Command Squad,,,"Reaction: After you prevent damage assigned to this unit by a non-warlord unit, deal damage equal to the prevented damage to that enemy unit. (Limit once per phase.)",Soldier. Ecclesiarchy.,Army,,4,Defenders of the Faith,APK,dbd4a5f3-51eb-4922-b5fa-e4f1a3d01231,Defenders of the Faith,38,,,,,,,,,,
263,,,,8,,0,,Astra Militarum,,,Signature,Faith Denies Death,,1,"Reaction: After an army unit with [F] is assigned damage, pay 1 [F] to prevent up to 5 of that damage.",Prayer. Ecclesiarchy.,Event,,2,Defenders of the Faith,APK,06797452-ee72-43cb-972b-820159922a0d,Defenders of the Faith,38,,,,,,,,,,
